epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.9013,0,47.2564,0,0,0,0,0,0,10148.8,0,0.000409357,0.000409357,0.000409357
2,25.2857,0,9.29615,0,0,0,0,0,0,1.53149,0,0.000817846,0.000817846,0.000817846
3,36.537,0,3.89801,0,0,0,0,0,0,907.925,0,0.00121808,0.00121808,0.00121808
4,48.1869,0,1.42586,0,0,0,0,0,0,nan,0,0.00121287,0.00121287,0.00121287
5,59.8549,0,0.55471,0,0,0,0,0,0,84.71,0,0.0012005,0.0012005,0.0012005
6,71.4893,0,0.20398,0,0,0,0,0,0,0,0,0.00118812,0.00118812,0.00118812
7,83.1071,0,0.07023,0,0,0,0,0,0,0,0,0.00117575,0.00117575,0.00117575
8,94.7555,0,0.02075,0,0,0,0,0,0,0,0,0.00116337,0.00116337,0.00116337
