epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.4463,4.09876,8.04716,2.09983,0.34895,0.1754,0.08215,0.01655,3.198,2.74824,1.40923,0.0748,0.0028,0.0028
2,46.5619,2.60778,2.73759,1.23062,0.71158,0.72841,0.80011,0.29674,2.14366,2.76579,1.06569,0.0486829,0.0056829,0.0056829
3,67.9368,2.1476,2.16182,1.10275,0.65474,0.72624,0.89156,0.33587,2.06125,1.90773,1.04745,0.0225484,0.0085484,0.0085484
4,89.8234,2.22807,1.81632,1.12328,0.48103,0.8436,0.79309,0.27719,2.13517,3.52234,1.10757,0.00991,0.00991,0.00991
5,111.424,2.16723,2.01224,1.0894,0.86254,0.63179,0.91811,0.4165,1.83931,1.52492,0.98241,0.00988,0.00988,0.00988
6,132.874,2.10645,1.7111,1.08078,0.80554,0.91749,0.93047,0.41491,1.95633,0.96449,1.0458,0.00985,0.00985,0.00985
