epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.9964,3.3476,4.75389,1.30447,0.73574,0.87669,0.82653,0.27098,2.22038,2.61307,0.94814,0.000409357,0.000409357,0.000409357
2,28.7556,2.34193,1.63002,0.94759,0.9443,0.95167,0.95028,0.3657,2.04039,0.97977,0.9152,0.000817846,0.000817846,0.000817846
3,41.8904,2.12665,1.38972,0.91461,0.87336,0.94603,0.93291,0.34755,2.09832,1.15156,0.91516,0.00121808,0.00121808,0.00121808
4,54.642,2.13677,1.45148,0.92164,0.92261,0.93904,0.95629,0.39172,2.00317,0.89478,0.90214,0.00121287,0.00121287,0.00121287
5,67.689,2.07754,1.15881,0.92607,0.93384,0.95314,0.95535,0.36324,2.08067,0.97235,0.90137,0.0012005,0.0012005,0.0012005
6,80.1899,2.01038,1.11052,0.90654,0.95592,0.9218,0.96438,0.41427,1.98991,0.87639,0.89291,0.00118812,0.00118812,0.00118812
7,93.5471,2.06367,1.07156,0.91631,0.88313,0.91458,0.93653,0.38286,2.05524,0.9152,0.89762,0.00117575,0.00117575,0.00117575
8,106.275,2.01175,1.03233,0.89123,0.96279,0.97691,0.97141,0.4023,1.99425,0.85654,0.89172,0.00116337,0.00116337,0.00116337
9,118.94,2.04815,0.99582,0.89292,0.97038,0.91267,0.97193,0.42984,1.81839,0.83465,0.8767,0.001151,0.001151,0.001151
10,131.963,1.97515,0.97816,0.90497,0.94097,0.92707,0.97323,0.4254,1.91963,0.83165,0.88889,0.00113863,0.00113863,0.00113863
11,144.889,1.90056,0.94663,0.89408,0.86712,0.75485,0.83277,0.36543,1.89582,0.95034,0.89392,0.00112625,0.00112625,0.00112625
12,158.097,1.90621,0.9143,0.87991,0.92958,0.8682,0.95,0.4065,1.88628,0.85213,0.88199,0.00111388,0.00111388,0.00111388
13,170.72,1.94282,0.96958,0.88344,0.93277,0.87601,0.95311,0.42588,1.85501,0.8238,0.8792,0.0011015,0.0011015,0.0011015
14,183.858,1.94101,0.92336,0.89475,0.95748,0.90853,0.97804,0.41586,1.99071,0.83931,0.8969,0.00108913,0.00108913,0.00108913
15,196.737,1.91699,0.91239,0.88845,0.86003,0.79044,0.92967,0.39098,1.88844,1.12727,0.88284,0.00107675,0.00107675,0.00107675
16,209.605,1.89648,0.8731,0.88891,0.93873,0.92134,0.97213,0.42489,1.83037,0.86144,0.87528,0.00106437,0.00106437,0.00106437
17,222.361,1.85351,0.87806,0.88213,0.96349,0.96763,0.97036,0.43482,1.84121,0.84153,0.88072,0.001052,0.001052,0.001052
18,235.501,1.84914,0.92596,0.87884,0.84669,0.92206,0.94694,0.41851,1.87348,0.88634,0.88067,0.00103962,0.00103962,0.00103962
19,248.299,1.84764,0.92271,0.88039,0.83711,0.76795,0.90196,0.40862,1.88388,0.90965,0.88335,0.00102725,0.00102725,0.00102725
20,261.014,1.85633,0.89025,0.88446,0.96885,0.86174,0.95651,0.4396,1.86784,0.85758,0.88132,0.00101488,0.00101488,0.00101488
21,274.294,1.87663,0.90873,0.88474,0.95481,0.87736,0.95687,0.41436,1.90434,0.86285,0.88408,0.0010025,0.0010025,0.0010025
22,287.46,1.85608,0.90355,0.87702,0.90486,0.94252,0.95494,0.41931,1.93892,0.8111,0.88773,0.000990125,0.000990125,0.000990125
23,300.324,1.8391,0.88427,0.88491,0.91202,0.9164,0.93767,0.3925,1.91889,0.8221,0.89047,0.00097775,0.00097775,0.00097775
24,313.156,1.82591,0.90257,0.87466,0.93752,0.94263,0.95689,0.41617,1.87414,0.83318,0.87821,0.000965375,0.000965375,0.000965375
25,325.908,1.81252,0.84956,0.87101,0.96068,0.98084,0.97507,0.41294,1.84391,0.78648,0.87652,0.000953,0.000953,0.000953
26,338.883,1.81748,0.84994,0.87982,0.92921,0.97066,0.96206,0.41026,1.89974,0.79592,0.88081,0.000940625,0.000940625,0.000940625
27,351.817,1.8399,0.83821,0.87955,0.94841,0.97864,0.98234,0.41531,1.89174,0.77989,0.88496,0.00092825,0.00092825,0.00092825
28,364.783,1.80005,0.81058,0.86872,0.93517,0.86011,0.91239,0.37976,1.90604,0.81921,0.88848,0.000915875,0.000915875,0.000915875
29,377.552,1.85082,0.87252,0.87694,0.89308,0.90139,0.9335,0.40395,1.88608,0.84042,0.88091,0.0009035,0.0009035,0.0009035
30,390.245,1.83405,0.84536,0.87033,0.92119,0.86597,0.9225,0.38485,1.94889,0.86327,0.88744,0.000891125,0.000891125,0.000891125
31,402.993,1.79567,0.82061,0.866,0.90553,0.94681,0.9788,0.42966,1.84061,0.77221,0.87862,0.00087875,0.00087875,0.00087875
32,415.997,1.78905,0.79471,0.87919,0.96607,0.87908,0.96414,0.41853,1.86817,0.75983,0.88419,0.000866375,0.000866375,0.000866375
33,429.107,1.77842,0.78903,0.86745,0.95048,0.94475,0.95573,0.41798,1.88329,0.78105,0.8781,0.000854,0.000854,0.000854
34,441.928,1.8026,0.83177,0.88129,0.96782,0.89104,0.95365,0.4315,1.84291,0.78958,0.87984,0.000841625,0.000841625,0.000841625
35,455.223,1.75088,0.83527,0.86988,0.89757,0.81053,0.89564,0.40788,1.85342,0.94315,0.87854,0.00082925,0.00082925,0.00082925
36,468.049,1.79641,0.85817,0.86448,0.9441,0.96637,0.95222,0.41153,1.87106,0.81554,0.87898,0.000816875,0.000816875,0.000816875
37,481.098,1.77575,0.80383,0.8704,0.92525,0.96217,0.95067,0.41377,1.8507,0.78476,0.87959,0.0008045,0.0008045,0.0008045
38,494.023,1.77735,0.81224,0.86099,0.89781,0.93443,0.9495,0.38997,1.93476,0.82803,0.88661,0.000792125,0.000792125,0.000792125
39,506.81,1.80964,0.83099,0.87437,0.92931,0.83442,0.91206,0.41903,1.83671,0.86105,0.87835,0.00077975,0.00077975,0.00077975
40,519.582,1.80147,0.80748,0.86819,0.86575,0.7707,0.86471,0.36946,1.91679,0.99346,0.89073,0.000767375,0.000767375,0.000767375
41,532.528,1.81276,0.8134,0.87325,0.92628,0.95743,0.94179,0.42713,1.82968,0.77184,0.87661,0.000755,0.000755,0.000755
42,545.771,1.75539,0.8052,0.86415,0.94156,0.85184,0.96364,0.42877,1.83929,0.82257,0.87722,0.000742625,0.000742625,0.000742625
43,558.714,1.75507,0.78394,0.86938,0.96276,0.95151,0.97166,0.42764,1.84333,0.77681,0.88028,0.00073025,0.00073025,0.00073025
44,571.643,1.72172,0.7685,0.86314,0.90717,0.89513,0.95022,0.43337,1.85045,0.78963,0.87904,0.000717875,0.000717875,0.000717875
45,584.407,1.73796,0.76345,0.86343,0.923,0.84252,0.9279,0.41511,1.84237,0.81349,0.87941,0.0007055,0.0007055,0.0007055
46,597.192,1.73269,0.78327,0.86961,0.93571,0.87467,0.91574,0.39915,1.87709,0.79954,0.88385,0.000693125,0.000693125,0.000693125
47,610.198,1.76959,0.76611,0.8786,0.95084,0.8694,0.92668,0.42589,1.85106,0.80233,0.87594,0.00068075,0.00068075,0.00068075
48,623.034,1.77587,0.75916,0.86985,0.95545,0.87639,0.92375,0.39165,1.90942,0.77655,0.88379,0.000668375,0.000668375,0.000668375
49,635.695,1.73194,0.77641,0.86179,0.86338,0.7987,0.87103,0.38631,1.90477,0.91523,0.88805,0.000656,0.000656,0.000656
50,648.667,1.72575,0.78679,0.85828,0.89375,0.79486,0.86427,0.37289,1.90427,0.8839,0.88443,0.000643625,0.000643625,0.000643625
51,661.624,1.72628,0.7876,0.85135,0.93812,0.87109,0.91765,0.41209,1.86808,0.81675,0.87807,0.00063125,0.00063125,0.00063125
52,679.762,1.74057,0.80064,0.86273,0.87497,0.83728,0.87784,0.38215,1.90658,0.87039,0.88238,0.000618875,0.000618875,0.000618875
53,692.666,1.71547,0.75141,0.85816,0.89519,0.84957,0.91304,0.40607,1.86459,0.83306,0.88199,0.0006065,0.0006065,0.0006065
54,705.483,1.70891,0.75198,0.85765,0.87232,0.88727,0.939,0.41672,1.86632,0.85082,0.88224,0.000594125,0.000594125,0.000594125
55,718.337,1.7402,0.76094,0.86444,0.93867,0.97949,0.95774,0.40833,1.89253,0.79335,0.88398,0.00058175,0.00058175,0.00058175
56,731.118,1.70643,0.78567,0.85958,0.84471,0.94836,0.93731,0.39627,1.90448,0.83237,0.88743,0.000569375,0.000569375,0.000569375
57,743.912,1.68086,0.72819,0.86153,0.94879,0.97496,0.95909,0.42929,1.84903,0.75385,0.87877,0.000557,0.000557,0.000557
58,756.864,1.70022,0.75673,0.86706,0.95299,0.97958,0.9673,0.42217,1.85552,0.73522,0.87897,0.000544625,0.000544625,0.000544625
59,769.657,1.68849,0.73848,0.85869,0.8741,0.94562,0.93456,0.43255,1.86503,0.7616,0.87851,0.00053225,0.00053225,0.00053225
60,782.244,1.67434,0.73727,0.85905,0.87247,0.92331,0.90679,0.38385,1.8984,0.81195,0.88454,0.000519875,0.000519875,0.000519875
61,795.248,1.72131,0.72408,0.87941,0.90898,0.93244,0.92331,0.37892,1.9291,0.79636,0.88584,0.0005075,0.0005075,0.0005075
62,808.367,1.69678,0.73334,0.8545,0.9481,0.96107,0.97311,0.41944,1.86825,0.76699,0.87968,0.000495125,0.000495125,0.000495125
63,821.04,1.67141,0.72419,0.86405,0.89209,0.93627,0.95223,0.43339,1.84929,0.77454,0.87513,0.00048275,0.00048275,0.00048275
64,833.997,1.65636,0.72616,0.85428,0.96084,0.98119,0.97519,0.44744,1.82651,0.76168,0.87299,0.000470375,0.000470375,0.000470375
65,847.667,1.66291,0.69709,0.85875,0.96665,0.93308,0.95843,0.43712,1.88274,0.73854,0.88193,0.000458,0.000458,0.000458
66,860.585,1.70401,0.72737,0.86376,0.93405,0.94652,0.94273,0.43233,1.87631,0.75802,0.87913,0.000445625,0.000445625,0.000445625
67,873.494,1.63126,0.73228,0.8537,0.90187,0.91714,0.95378,0.41812,1.88378,0.79644,0.88059,0.00043325,0.00043325,0.00043325
68,886.524,1.67333,0.7314,0.86327,0.94702,0.9545,0.95629,0.4129,1.89183,0.74878,0.88131,0.000420875,0.000420875,0.000420875
69,899.411,1.64917,0.69731,0.86314,0.97429,0.98213,0.97608,0.43568,1.88009,0.72657,0.88123,0.0004085,0.0004085,0.0004085
70,912.825,1.66991,0.71553,0.85807,0.95149,0.95861,0.96281,0.41796,1.91496,0.74853,0.88329,0.000396125,0.000396125,0.000396125
71,926.207,1.69244,0.7166,0.85472,0.93728,0.89806,0.94119,0.42793,1.87876,0.76862,0.88176,0.00038375,0.00038375,0.00038375
72,944.046,1.64875,0.72228,0.85441,0.82717,0.90322,0.92309,0.39714,1.90275,0.84966,0.8805,0.000371375,0.000371375,0.000371375
73,956.931,1.65397,0.72055,0.84696,0.85672,0.93846,0.93649,0.41444,1.83489,0.81021,0.8761,0.000359,0.000359,0.000359
